station,mean,sum,year
RAGI4,0.0,0,2015
RAII4,0.0,0,2015
RAKI4,7.907169826239943e-05,4,2015
RALI4,0.0,0,2015
RAMI4,0.493493745438071,19607,2015
RAVI4,1.9360334546580963e-05,1,2015
RBFI4,0.0,0,2015
RBUI4,3.833180006133088e-05,2,2015
RCAI4,0.39878641400766207,15510,2015
RCCI4,0.0,0,2015
RCDI4,0.0,0,2015
RCEI4,0.0,0,2015
RCFI4,0.0,0,2015
RCII4,0.0,0,2015
RCLI4,0.0,0,2015
RCMI4,0.0026777208476016375,104,2015
RCNI4,0.4262380295487715,21320,2015
RCRI4,0.0,0,2015
RDAI4,0.0,0,2015
RDBI4,0.0,0,2015
RDCI4,0.3928326553000869,17188,2015
RDEI4,0.2638717308450519,10039,2015
RDMI4,0.0,0,2015
RDNI4,0.0,0,2015
RDSI4,1.0,14852,2015
RDTI4,0.0,0,2015
RDVI4,0.0,0,2015
RDWI4,0.0,0,2015
RDYI4,0.0,0,2015
RETI4,0.0,0,2015
RFDI4,3.153380423814329e-05,1,2015
RGRI4,4.556016219417741e-05,2,2015
RHAI4,0.0,0,2015
RIAI4,0.0,0,2015
RIFI4,0.0,0,2015
RIGI4,0.0,0,2015
RIOI4,0.0,0,2015
RJFI4,0.0,0,2015
RKNI4,0.0019617199512220987,74,2015
RKSI4,0.0021167075576081205,88,2015
RLEI4,0.9213539847055626,47470,2015
RMCI4,0.0,0,2015
RMNI4,0.0,0,2015
RMPI4,0.0,0,2015
RMQI4,0.0,0,2015
RMTI4,0.001667735728030789,13,2015
RMVI4,0.0,0,2015
RMYI4,0.0,0,2015
RNHI4,0.0,0,2015
ROOI4,0.0,0,2015
ROSI4,0.00012936889540524806,6,2015
ROTI4,1.9440124416796266e-05,1,2015
RPFI4,0.3354951555529352,17071,2015
RPLI4,0.0,0,2015
RQCI4,2.451641373899826e-05,1,2015
RROI4,0.03705716586151369,1841,2015
RRWI4,0.6442208462332302,32461,2015
RSBI4,0.0,0,2015
RSCI4,0.0,0,2015
RSDI4,0.0,0,2015
RSGI4,0.0,0,2015
RSLI4,0.0,0,2015
RSMI4,0.33853006681514475,15504,2015
RSNI4,0.0,0,2015
RSOI4,0.0,0,2015
RSPI4,0.0,0,2015
RSWI4,0.0,0,2015
RSYI4,0.0,0,2015
RTMI4,0.9993088064343837,31807,2015
RTNI4,0.26957133399536576,13030,2015
RTOI4,3.890218046721519e-05,2,2015
RTPI4,0.0,0,2015
RURI4,0.0,0,2015
RWBI4,3.695013579174904e-05,2,2015
RWII4,0.0,0,2015
RWLI4,0.30427402749179144,10935,2015
RAGI4,0.0,0,2016
RAII4,0.0,0,2016
RAKI4,0.0,0,2016
RAMI4,0.31890744136666344,16521,2016
RAVI4,2.1431173785388226e-05,1,2016
RBFI4,0.0,0,2016
RBUI4,0.0,0,2016
RCAI4,0.320055427612319,16399,2016
RCCI4,0.0,0,2016
RCDI4,0.0,0,2016
RCEI4,0.9588512749963151,39031,2016
RCFI4,0.21804633833973688,9364,2016
RCII4,0.0,0,2016
RCLI4,0.0,0,2016
RCMI4,0.00459082292213873,201,2016
RCNI4,0.3152946571887182,13750,2016
RCRI4,0.0,0,2016
RDAI4,0.0,0,2016
RDBI4,0.0,0,2016
RDCI4,0.2330868255272528,10212,2016
RDEI4,0.0,0,2016
RDMI4,0.0,0,2016
RDNI4,0.0,0,2016
RDSI4,1.0,43075,2016
RDTI4,0.0,0,2016
RDVI4,0.0,0,2016
RDWI4,0.0,0,2016
RDYI4,0.0,0,2016
RETI4,0.0,0,2016
RFDI4,0.0,0,2016
RGRI4,0.5617085871298734,29233,2016
RHAI4,0.0,0,2016
RIAI4,0.0,0,2016
RIGI4,0.0,0,2016
RIOI4,0.0,0,2016
RJFI4,0.0,0,2016
RKNI4,0.004467307431975091,198,2016
RKSI4,2.9324653235975483e-05,1,2016
RLEI4,0.017998400142209582,810,2016
RMCI4,0.0,0,2016
RMNI4,0.0,0,2016
RMPI4,0.0,0,2016
RMQI4,0.0,0,2016
RMTI4,0.0,0,2016
RMVI4,0.0,0,2016
RNHI4,0.08673692389879073,1786,2016
RONI4,0.0,0,2016
ROOI4,0.0,0,2016
ROSI4,0.0,0,2016
ROTI4,0.0,0,2016
RPFI4,5.32509718302359e-05,2,2016
RPLI4,0.0,0,2016
RQCI4,6.012506012506013e-05,3,2016
RROI4,0.0,0,2016
RRWI4,0.31865305167978797,16352,2016
RSBI4,0.0,0,2016
RSCI4,3.884249368809478e-05,2,2016
RSDI4,0.0,0,2016
RSGI4,0.0,0,2016
RSLI4,0.0,0,2016
RSMI4,0.860134819201995,44149,2016
RSNI4,0.0,0,2016
RSOI4,0.46807774381452216,24348,2016
RSPI4,0.0,0,2016
RSWI4,0.0,0,2016
RSYI4,1.9747235387045812e-05,1,2016
RTMI4,0.24403113312443142,12071,2016
RTNI4,1.0,50374,2016
RTOI4,0.0,0,2016
RTPI4,4.076807044722573e-05,2,2016
RURI4,0.0,0,2016
RWBI4,0.21666030572685455,10786,2016
RWII4,0.0,0,2016
RWLI4,1.0,36018,2016
RAII4,0.0,0,2017
RAKI4,7.725736359246741e-05,4,2017
RALI4,0.40334026396673295,17847,2017
RAMI4,1.9142053176623726e-05,1,2017
RAVI4,0.0,0,2017
RBFI4,0.0,0,2017
RBUI4,0.00010176666938044452,5,2017
RCAI4,0.0,0,2017
RCBI4,0.0030078059726432885,126,2017
RCCI4,0.0,0,2017
RCDI4,0.0,0,2017
RCEI4,0.6875621700206596,35943,2017
RCFI4,0.12890459907019633,6710,2017
RCII4,0.0,0,2017
RCLI4,0.0,0,2017
RCMI4,0.003667411609649877,192,2017
RCNI4,0.0,0,2017
RCRI4,0.0,0,2017
RDAI4,0.0,0,2017
RDBI4,0.0,0,2017
RDCI4,0.0,0,2017
RDEI4,0.0,0,2017
RDMI4,0.0,0,2017
RDNI4,0.0,0,2017
RDSI4,0.915084954836656,45994,2017
RDVI4,0.0,0,2017
RDWI4,1.9559519618198177e-05,1,2017
RDYI4,0.0,0,2017
RETI4,1.9371585758010152e-05,1,2017
RFDI4,0.0,0,2017
RGRI4,0.8808886197983373,37828,2017
RHAI4,2.2832614105988996e-05,1,2017
RIAI4,0.0,0,2017
RIGI4,0.0,0,2017
RIOI4,0.6013798167974336,31119,2017
RJFI4,0.0,0,2017
RKNI4,0.003378119001919386,176,2017
RKSI4,0.00010649627263045793,3,2017
RLEI4,0.0,0,2017
RMCI4,0.0,0,2017
RMNI4,0.0,0,2017
RMPI4,1.9107306634056862e-05,1,2017
RMQI4,0.0,0,2017
RMTI4,0.0,0,2017
RMVI4,0.0,0,2017
RNHI4,0.38695098156333374,19435,2017
ROOI4,0.0,0,2017
ROSI4,0.0,0,2017
ROTI4,0.0,0,2017
RPFI4,0.0,0,2017
RPLI4,0.0,0,2017
RQCI4,0.00033326798666928056,17,2017
RROI4,0.0,0,2017
RRWI4,0.0,0,2017
RSBI4,1.957675065092696e-05,1,2017
RSCI4,1.9874788830368677e-05,1,2017
RSDI4,0.0,0,2017
RSGI4,0.0,0,2017
RSLI4,0.0,0,2017
RSMI4,1.0,52416,2017
RSNI4,0.0,0,2017
RSOI4,0.67201163277095,33737,2017
RSPI4,3.829583532790809e-05,2,2017
RSYI4,0.0,0,2017
RTMI4,9.978247420623042e-05,5,2017
RTNI4,1.0,52122,2017
RTOI4,0.0,0,2017
RTPI4,1.9432191368220593e-05,1,2017
RURI4,0.0,0,2017
RWBI4,1.0,52221,2017
RWII4,0.0,0,2017
RWLI4,1.0,50031,2017
HKYI4,0.0,0,2018
RAKI4,3.907623773983041e-05,2,2018
RALI4,1.9273764551692237e-05,1,2018
RAMI4,4.1573127130622764e-05,1,2018
RAVI4,0.0,0,2018
RBFI4,0.0,0,2018
RBUI4,0.00037198739158525364,19,2018
